Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
29.640000,29.54000,,,,VK3RHF,"Melbourne East - Olinda",Victoria,Australia,FM ,
53.550000,52.55000,,,,VK3RMH,"Kinglake - Kangaroo Ground",Victoria,Australia,FM ,
53.575000,52.57500,,91.5,,VK3RDD,"Cranbourne",Victoria,Australia,FM ,
53.600000,52.60000,,,,VK3RMR,"Traralgon - Carrajung",Victoria,Australia,FM ,
53.650000,52.65000,,91.5,,VK3RWU,"Ararat - Mt William",Victoria,Australia,FM ,
53.675000,52.67500,,,,VK3RTN,"Marysville - Mt Gordon",Victoria,Australia,FM ,
53.675000,52.67500,,,,VK3RAD,"Melbourne - Mitcham",Victoria,Australia,FM ,
53.725000,52.72500,,123.0,,VK3RGV,"Euroa - Mt Wombat",Victoria,Australia,FM ,
53.900000,52.90000,,,,VK3RMS,"Sassafras - Olinda",Victoria,Australia,FM ,
53.975000,52.97500,,,,VK3RGM,"Vic Highlands - Mt Buller",Victoria,Australia,FM ,
144.937500,145.53750,,,,VK3RDQ,"Eastern Suburbs - Wantirna South",Victoria,Australia,FM EchoLink Fusion WIRES-X ,
144.987500,145.58750,,,,VK3RLP,"Geelong - Ceres",Victoria,Australia,FM ,
145.012500,145.61250,,,,VK3RPT,"Wallan - Pretty Sally",Victoria,Australia,FM ,
146.625000,146.02500,,91.5,,VK3ROW,"Apollo Bay - Beech Forest",Victoria,Australia,FM ,
146.625000,146.02500,,,,VK3RDH,"Delegate - Mt Delegate",Victoria,Australia,FM ,
146.650000,146.05000,,91.5,,VK3RBT,"Ballarat - Green Hill",Victoria,Australia,FM ,
146.650000,146.05000,,123.0,,VK3RGV,"Euroa - Mt Wombat",Victoria,Australia,FM ,
146.675000,146.07500,,88.5,,VK3RSP,"Rosebud - Arthur's Seat",Victoria,Australia,FM EchoLink IRLP ,
146.700000,146.10000,,91.5,,VK3RML,"Ferntree Gully - Ferny Creek",Victoria,Australia,FM ,
146.700000,146.10000,,,,VK3RON,"Sunraysia - Ouyen",Victoria,Australia,FM ,
146.725000,146.12500,,123.0,123.0,VK3RYV,"Lilydale - Briarty Hill",Victoria,Australia,FM Fusion WIRES-X ,
146.750000,146.15000,,91.5,,VK3RBA,"Ballarat - Mt Buninyong",Victoria,Australia,FM ,
146.762500,146.16250,,,,VK3RMC,"Dandenong Sth - Narre Warren",Victoria,Australia,DSTAR ,
146.775000,146.17500,,123.0,,VK3RAG,"Alexandra - Rennies Hill",Victoria,Australia,DMR ,1
146.787500,146.18750,,91.5,91.5,VK3RFN,"Melbourne East - Richmond",Victoria,Australia,FM ,
146.800000,146.20000,,,,VK3RLV,"Callignee - Mt Tassie",Victoria,Australia,FM ,
146.800000,146.20000,,,,VK3RMA,"Sunraysia - Mildura City",Victoria,Australia,FM ,
146.825000,146.22500,,94.8,,VK3RAJ,"Ferntree Gully - Upwey",Victoria,Australia,FM IRLP ,
146.825000,146.22500,,91.5,,VK3RPL,"Portland - Point Danger",Victoria,Australia,FM ,
146.825000,146.22500,,103.5,,VK3RYN,"Yallourn North",Victoria,Australia,FM ,
146.850000,146.25000,,91.5,,VK3RWM,"Horsham - Mt Arapiles",Victoria,Australia,FM ,
146.850000,146.25000,,91.5,,VK3RMN,"Kinglake Central - Kinglake",Victoria,Australia,FM ,
146.850000,146.25000,,,,VK3RDU,"Shepparton - Mt Major",Victoria,Australia,FM ,
146.875000,146.27500,,,91.5,VK3RNW,"Gisborne - Mt Gisborne",Victoria,Australia,FM WIRES-X ,
146.875000,146.27500,,91.5,,VK3RGH,"Kyneton - Green Hill",Victoria,Australia,FM ,
146.887500,146.28750,,,,VK3RSD,"Upwey - Water Tower",Victoria,Australia,DSTAR ,
146.900000,146.30000,,67.0,71.9,VK3RSH,"Sunraysia - Swan Hill",Victoria,Australia,FM ,
146.900000,146.30000,,,,VK3REB,"Victoria East - Mt Nowa Nowa",Victoria,Australia,FM ,
